Категория,Название,Полное название,Ссылка
От боли в горле,Пропосол,Пропосол спрей для местного применения 50г (отпуск 5шт),https://аптека-омск.рф/lek/proposol-sprey-dmestnogo-prim-50g-bal-iu-otpusk-5sht
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания ментоловые №16,https://аптека-омск.рф/lek/suprima-lor-mentol-n16-tabl-drassas
От боли в горле,Йодангин,Йодангин n32 таблетки для рассасывания,https://аптека-омск.рф/lek/yodangin-n32-tabl-dlya-rassas
От боли в горле,Аджисепт,Аджисепт Ананас таблетки для рассасывания №24,https://аптека-омск.рф/lek/adzhisept-tab-d-rassas-no24-ananas
От боли в горле,Аджисепт,Аджисепт Классический таблетки для рассасывания №24,https://аптека-омск.рф/lek/adzhisept-tab-d-rassas-no24-klassicheskie
От боли в горле,Аджисепт,Аджисепт Апельсин таблетки для рассасывания №24,https://аптека-омск.рф/lek/adzhisept-tab-d-rassas-no24-apelsin
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания клубничные №16,https://аптека-омск.рф/lek/suprima-lor-klubnika-tabletki-dlya-rassasyvaniya-no16
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания ананасовые №16,https://аптека-омск.рф/lek/suprima-lor-ananas-tabletki-dlya-rassasyvaniya-no16
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания эвкалиптовые №16,https://аптека-омск.рф/lek/suprima-lor-evkalipt-tabletki-dlya-rassasyvaniya-no16
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания медово-лимонные №16,https://аптека-омск.рф/lek/suprima-lor-med-i-limon-tabletki-dlya-rassasyvaniya-no16
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания апельсиновые №16,https://аптека-омск.рф/lek/suprima-lor-apelsin-tabletki-dlya-rassasyvaniya-no16
От боли в горле,Суприма-лор,Суприма-Лор таблетки для рассасывания лимонные №16,https://аптека-омск.рф/lek/suprima-lor-limon-tabletki-dlya-rassasyvaniya-no16
От боли в горле,Люголь-виалайн,Люголь-виалайн раствор для полоскания рта 200мл,https://аптека-омск.рф/lek/lyugol-vialayn-r-r-dgigieny-polosti-rta-200ml
От боли в горле,Йодангин,Йодангин порошок для полоскания полости рта эвкалипт шалфей пакет-саше №10,https://аптека-омск.рф/lek/yodangin-poroshok-dlya-poloskaniya-polosti-rta-evkalipt-shalfey-n10-pak-sashe
От боли в горле,Йодангин,Йодангин порошок для полоскания полости рта календула ромашка пакет-саше №10,https://аптека-омск.рф/lek/yodangin-poroshok-dlya-poloskaniya-polosti-rta-kalendula-romashka-n10-pak-sashe
От боли в горле,Доктор Тайсс Анги Септ,Доктор Тайсс Анги Септ таблетки для рассасывания шалфейные №24,https://аптека-омск.рф/lek/doktor-tayss-angi-sept-tab-dlya-rassasyvaniya-shalfeynye-no24
От боли в горле,Протаргол-лор,Протаргол-лор таблетки для приготовления раствора для мест. применения 200мг в комп. флакон,крыш.-пипетка блистер 1шт.,https://аптека-омск.рф/lek/protargol-lor-tabletki-dlya-prig-r-ra-dlya-mest-primeneniya-200-mg-v-komp-flkrysh-pipetka
От боли в горле,Доктор Тайсс Анги Септ,Доктор Тайсс Анги Септ таблетки для рассасывания лимонные №24,https://аптека-омск.рф/lek/doktor-tayss-angi-sept-tab-dlya-rassasyvaniya-limonnye-no24
От боли в горле,Аджисепт,Аджисепт таблетки для рассасывания №24 (ментол-эвкалипт),https://аптека-омск.рф/lek/adzhisept-tab-d-rassas-no24-mentol-evkalipt
От боли в горле,Аджисепт,Аджисепт (лимон) таблетки для расс №24,https://аптека-омск.рф/lek/adzhisept-limon-tab-drass-no24
От боли в горле,Доктор Тайсс Анги Септ,Доктор Тайсс Анги Септ таблетки для рассасывания медово-липовые №24,https://аптека-омск.рф/lek/doktor-tayss-angi-sept-tab-dlya-rassasyvaniya-medovo-lipovye-no24
От боли в горле,Фарингосепт,Фарингосепт таблетки для рассасывания 10мг №10,https://аптека-омск.рф/lek/faringosept-tabletki-dlya-rassasyvaniya-10mg-no10
От боли в горле,Шалфей для рассасывания,Шалфей таблетки для рассасывания №10,https://аптека-омск.рф/lek/shalfey-tabl-drassas-kh10
Противовирусные,Ацикловир мазь,Ацикловир-Акрихин мазь для наружного применения 5% туба 5 г,https://аптека-омск.рф/lek/aciklovir-akrikhin-maz-dlya-naruzhnogo-primeneniya-5-tuba-5-g-0
Противовирусные,Ацикловир,Ацикловир-Акрихин мазь для наружного применения 5% туба 5 г,https://аптека-омск.рф/lek/aciklovir-akrikhin-maz-dlya-naruzhnogo-primeneniya-5-tuba-5-g
Противовирусные,Оксолин мазь назальная,Оксолин мазь назальная 0.25% 10г,https://аптека-омск.рф/lek/oksolin-maz-nazalnaya-025-10-g-0
Противовирусные,Римантадин,Римантадин таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-50mg-tab-kh20
Противовирусные,Римантадин,Римантадин таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-tab-50mg-no20-iu
Противовирусные,Римантадин,Римантадин таблетки 50мг №20 /Фармстандарт/,https://аптека-омск.рф/lek/rimantadin-005-n20-tablfarmstandart
Противовирусные,Римантадин,Римантадин таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-tab-50mg-no20
Противовирусные,Ацикловир,Ацикловир-Акрихин мазь для наружного применения 5% туба 10г,https://аптека-омск.рф/lek/aciklovir-akrikhin-maz-dlya-naruzhnogo-primeneniya-5-tuba-10-g
Противовирусные,Ацикловир мазь,Ацикловир-Акрихин мазь для наружного применения 5% туба 10г,https://аптека-омск.рф/lek/aciklovir-akrikhin-maz-dlya-naruzhnogo-primeneniya-5-tuba-10-g-0
Противовирусные,Римантадин,Римантадин таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-tab-50mg-no20-1
Противовирусные,Римантадин,Римантадин таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-tab50-mg-no20
Противовирусные,Ацикловир,Ацикловир Авексима таблетки 200мг №20,https://аптека-омск.рф/lek/aciklovir-aveksima-tab-200mg-no20
Противовирусные,Оксолин мазь назальная,Оксолин мазь назальная 0.25% 25 г,https://аптека-омск.рф/lek/oksolin-maz-nazalnaya-025-25-g
Противовирусные,Ремантадин,Ремантадин таблетки 50мг №20,https://аптека-омск.рф/lek/remantadin-tab-50-mg-no20
Противовирусные,Римантадин,Римантадин таблетки 50мг №20 и/у,https://аптека-омск.рф/lek/rimantadin-tab-50mg-no20-iu-1
Противовирусные,Римантадин,Римантадин Авексима таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-aveksima-tab-50mg-no20
Противовирусные,Ацикловир,Ацикловир-Акрихин таблетки 200мг №20,https://аптека-омск.рф/lek/aciklovir-akrikhin-tabletki-200-mg-no20
Противовирусные,Умифеновир,Умифеновир капсулы 50мг №10,https://аптека-омск.рф/lek/umifenovir-kaps-50mg-no10
Противовирусные,Инфагель,Инфагель гель для местного и наружного применения 3г,https://аптека-омск.рф/lek/infagel-gel-dmestn-i-nar-prim-3g-tuby-iu
Противовирусные,Римантадин,Римантадин Актитаб таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-aktitab-tab-50mg-no-20
Противовирусные,Римантадин,Римантадин Актитаб таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-aktitab-tab-50mg-no20
Противовирусные,Рибавирин,Рибавирин капсулы 200мг №30,https://аптека-омск.рф/lek/ribavirin-kaps-200mg-no30-0
Противовирусные,Римантадин,Римантадин таблетки 50мг №20,https://аптека-омск.рф/lek/rimantadin-tab-50mg-no20-0
Противовирусные,Рибавирин,Рибавирин вертекс капсулы 200мг №30,https://аптека-омск.рф/lek/ribavirin-verteks-kaps-200mg-no30
Противовирусные,Афлюдол,Афлюдол таблетки покрытые плёночной оболочкой 50мг №20,https://аптека-омск.рф/lek/aflyudol-50mg-tab-pplob-kh20
Противовирусные,Ацикловир,Ацикловир реневал таблетки 400мг №20,https://аптека-омск.рф/lek/aciklovir-reneval-tabletki-400mg-no20
Противовирусные,Панавир гель,"Панавир гель для местного и наружного применения 0,002% 5г",https://аптека-омск.рф/lek/panavir-gel-dnar-i-mestn-prim-0002-5g-tuby-iu
Противовирусные,Инфагель,Инфагель гель для местного и наружного применения 5г,https://аптека-омск.рф/lek/infagel-gel-dnar-i-mestn-prim-5g-tuby-iu
Противовирусные,Арбидол,Арбидол таблетки покрытые пленочной оболочкой 50мг №10,https://аптека-омск.рф/lek/arbidol-tabletki-pokrytye-plenochnoy-obolochkoy-50mg-no10
Противовирусные,Виферон,Виферон гель для наружного и местного применения 36000 МЕ/г 12г,https://аптека-омск.рф/lek/viferon-gel-36000-meg-12g
Противовирусные,Виферон,Виферон гель для наружного и местного применения 36000 МЕ/г 12г,https://аптека-омск.рф/lek/viferon-gel-dnaruzh-i-mestnprim-36tysmeg-12g-no1
Противовирусные,Ацикловир,Ацикловир белупо таблетки покрытые пленочной оболочкой 400мг №21,https://аптека-омск.рф/lek/aciklovir-belupo-tab-po-plyonochnoy-400mg-no21
Противовирусные,Виферон,Виферон мазь для наружного и местного применения 40000 МЕ/г 12г,https://аптека-омск.рф/lek/viferon-maz-40-000meg-12g
Противовирусные,Ацикловир,Ацикловир таблетки 400мг №20,https://аптека-омск.рф/lek/aciklovir-tabletki-400-mg-no20-0
Противовирусные,Умифеновир,Умифеновир капсулы 100мг №10,https://аптека-омск.рф/lek/umifenovir-kaps-100mg-no10
Противовирусные,Умифеновир,Умифеновир капсулы 50мг №20,https://аптека-омск.рф/lek/umifenovir-kaps-50mg-no20-0
Противовирусные,Ацикловир,Ацикловир таблетки 400мг №20,https://аптека-омск.рф/lek/aciklovir-tabletki-400-mg-no20
Противовирусные,Римантадин,Римантадин Кидс сироп для детей 2мг/мл 100мл,https://аптека-омск.рф/lek/rimantadin-kids-2mgml-sirop-ddetey-100ml-fl-kh1
Противовирусные,Гриппферон с лоратадином,Гриппферон с лоратадином мазь назальная 10000 МЕ/г + 2мг/г тюбик 5г,https://аптека-омск.рф/lek/grippferon-s-loratadinom-maz-naz-10000meg-2mgg-tyubik-5g
Противовирусные,Арбидол,Арбидол капсулы 100мг №10,https://аптека-омск.рф/lek/arbidol-kapsuly-100-mg-no10
От насморка,Нафтизин,"Нафтизин капли назальные 0,05% 10мл",https://аптека-омск.рф/lek/naftizin-kapli-nazal-005-10ml-fl-kap-iu
От насморка,Нафтизин,"Нафтизин капли назальные 0,1% 10мл",https://аптека-омск.рф/lek/naftizin-kapli-nazal-01-fl-kap-10ml-iu
От насморка,Нафтизин,"Нафтизин капли назальные 0,1% флакон-капельница 15мл (отпуск 10шт )",https://аптека-омск.рф/lek/naftizin-kapli-nazal-01-15ml-fl-kap-iu-otpusk-10sht
От насморка,Нафтизин,"Нафтизин капли назальные 0,1% флакон-капельница 15мл (отпуск 50шт)",https://аптека-омск.рф/lek/naftizin-kapli-nazal-01-15ml-fl-kap-polimotpusk-50sht
От насморка,Ринорус,"Ринорус капли назальные 0,1% 10мл",https://аптека-омск.рф/lek/rinorus-01-kapli-nazalnye-10ml
От насморка,Ксилен капли назальные,"Ксилен капли назальные 0,05% 10мл",https://аптека-омск.рф/lek/ksilen-kapli-nazal-005-10ml
От насморка,Ксилен,"Ксилен капли назальные 0,05% 10мл (отпуск 6шт)",https://аптека-омск.рф/lek/ksilen-kapli-nazal-005-10ml-otpusk-6sht
От насморка,Риностоп,"Риностоп капли назальные 0,05% 10мл",https://аптека-омск.рф/lek/rinostop-kapli-naz-01-10ml
От насморка,Риностоп,"Риностоп капли назальные 0,1% 10мл",https://аптека-омск.рф/lek/rinostop-kapli-nazalnye-01-10ml
От насморка,Ксилен,"Ксилен капли назальные 0,1% 10мл  (отпуск 6шт)",https://аптека-омск.рф/lek/ksilen-kapli-nazal-01-10ml-fl-kap-polim-iuotpusk-6sht
От насморка,Ксилометазолин,"Ксилометазолин Солофарм капли назальные 0,1% 15мл",https://аптека-омск.рф/lek/ksilometazolin-solofarm-kapli-01-15ml
От насморка,Ксилокт,"Ксилокт солофарм капли назальн. 0,05% 10мл",https://аптека-омск.рф/lek/ksilokt-solofarm-kapli-nazaln-005-10ml
От насморка,Ксилокт,"Ксилокт солофарм капли назальный 0,1% 10мл",https://аптека-омск.рф/lek/ksilokt-solofarm-kapli-naz-01-10ml
От насморка,Нафтизин,"Нафтизин спрей назальный 0,1% 15мл",https://аптека-омск.рф/lek/naftizin-sprey-nazal-01-15-ml-kh1
От насморка,Ксилен капли назальные,"Ксилен капли назальные 0,1% флакон-капельница 20мл",https://аптека-омск.рф/lek/ksilen-kapli-nazalnye-01-flakon-kapelnica-20-ml-0
От насморка,Ксилен,"Ксилен капли назальные 0,1% флакон-капельница 20мл",https://аптека-омск.рф/lek/ksilen-kapli-nazalnye-01-flakon-kapelnica-20-ml
От насморка,Кватран,"Кватран ксило капли назальные 0,05% 15мл тюб-кап.",https://аптека-омск.рф/lek/kvatran-ksilo-kapli-nazalnye-005-15ml-tyub-kap
От насморка,Звездочка,"Звездочка ноз спрей назальный 0,1% 15мл",https://аптека-омск.рф/lek/zvezdochka-noz-sprey-nazalnyy-01-15ml
От насморка,Нафтизин,"Нафтизин Реневал капли назальные 0,1% тюбик-капельница 20мл",https://аптека-омск.рф/lek/naftizin-reneval-kapli-naz-01-tyub-kapelnica-20-ml
От насморка,Нафтизин,"Нафтизин Реневал капли назальные 0,05% тюбик-капельница 20мл",https://аптека-омск.рф/lek/naftizin-reneval-kapli-nazal-005-tyubkap-vint-indup-20-ml-kh1
От насморка,Аква airmore спрей,Аква airmore спрей назальный 50мл,https://аптека-омск.рф/lek/akva-airmore-sprey-naz-50ml
От насморка,Кватран,"Кватран ксило капли назал 0,1% амп в комп с фл 15мл",https://аптека-омск.рф/lek/kvatran-ksilo-kapli-nazal-01-amp-v-komp-s-fl-15-ml
От насморка,Ринорус,"Ринорус спрей назальные 0,05% 10мл",https://аптека-омск.рф/lek/rinorus-sprey-nazal-005-10ml
От насморка,Ринорус,"Ринорус спрей назальные 0,1% 20мл",https://аптека-омск.рф/lek/rinorus-sprey-nazal-01-20ml
От насморка,Эваменол,Эваменол мазь назальная 15г туба,https://аптека-омск.рф/lek/evamenol-maz-nazalnaya-15g-tuba
От насморка,Ринорус,"Ринорус спрей назальные 0,05% 10мл",https://аптека-омск.рф/lek/rinorus-sprey-nazal-005-10ml-0
От насморка,Ринонорм,"Ринонорм спрей назальный дозированный для детей 0,05% 20мл",https://аптека-омск.рф/lek/rinonorm-teva-sprey-nazalnyy-005-20ml
От насморка,Риностоп,"Риностоп спрей назальный 0,05% 15мл",https://аптека-омск.рф/lek/rinostop-sprey-nazal-dozir-005-15ml
От насморка,Риностоп,"Риностоп спрей назальный 0,1% 15мл",https://аптека-омск.рф/lek/rinostop-sprey-naz-01-15ml
От насморка,Тизин,"Тизин Классик спрей назальный дозированный 0,05% 10мл",https://аптека-омск.рф/lek/tizin-klassik-sprey-nazalnyy-dozirovannyy-005-10-ml-0
От насморка,Тизин,"Тизин Классик спрей назальный дозированный 0,05% 10мл",https://аптека-омск.рф/lek/tizin-klassik-sprey-nazalnyy-dozirovannyy-005-10-ml
От насморка,Ринорус,"Ринорус спрей назальные 0,1% 20мл",https://аптека-омск.рф/lek/rinorus-sprey-nazal-01-20ml-0
От насморка,Ксилен,"Ксилен спрей назальные 0,05% 15мл",https://аптека-омск.рф/lek/ksilen-sprey-nazal-005-15ml
От насморка,Риностоп,"Риностоп спрей назальный 0,1% 15мл",https://аптека-омск.рф/lek/rinostop-sprey-naz-01-15ml-fl-ind
От насморка,Тизин,"Тизин Классик спрей назальный дозированный 0,1% 10мл",https://аптека-омск.рф/lek/tizin-klassik-sprey-nazalnyy-dozirovannyy-01-10-ml-0
От насморка,Ринонорм,Ринонорм спрей назальный дозированный 140 мкг/доза флакон 20мл,https://аптека-омск.рф/lek/rinonorm-sprey-nazal-dozir-140-mkgdoza-fl-20-ml-kh1
От насморка,Ингалятор интраназальный ингакамф,Ингалятор интраназальный ингакамф,https://аптека-омск.рф/lek/ingalyator-intranazalnyy-ingakamf
От насморка,Тизин,"Тизин Классик спрей назальный дозированный 0,1% 10мл",https://аптека-омск.рф/lek/tizin-klassik-sprey-nazalnyy-dozirovannyy-01-10-ml
От насморка,Морелор,"Морелор ксило спрей назальный 0,1% 10мл",https://аптека-омск.рф/lek/morelor-ksilo-sprey-nazalnyy-01-10ml
От насморка,Ксилен спрей назальный,Ксилен спрей назальный 0.1% 15мл,https://аптека-омск.рф/lek/ksilen-sprey-nazalnyy-01-15-ml
Дерматология,Стрептоцид,Стрептоцид порошок для наружного применения пакет 2г,https://аптека-омск.рф/lek/streptocid-poroshok-2g
Дерматология,Борная,Борная кислота раствор для местного применения спиртовой 3% 25мл (цена действительна при отпуске 10 флаконов),https://аптека-омск.рф/lek/bornaya-k-ta-r-r-dmestn-prim-spirt-3-25ml-otpusk-10fl-0
Дерматология,,Салициловая кислота раствор для наружного применения спиртовой 2% 40мл,https://аптека-омск.рф/lek/salicilovaya-kislota-r-r-dnar-prim-spirt-2-fl-40ml-no1
Дерматология,Стрептоцид,Стрептоцид порошок для наружного применения пакет 2г №1,https://аптека-омск.рф/lek/streptocid-por-dnar-prim-2g-pak-iu
Дерматология,Стрептоцид,Стрептоцид порошок для наружного применения пакет 2г №1,https://аптека-омск.рф/lek/streptocid-porosh-dnaruzh-prim-paket-2g-no1
Дерматология,Бензилбензоат мазь,Бензилбензоат мазь 20% 25г,https://аптека-омск.рф/lek/benzilbenzoat-maz-20-25g-1
Дерматология,Стрептоцид,Стрептоцид порошок для наружного применения пакет 2г (отпуск 10шт),https://аптека-омск.рф/lek/streptocid-por-dnar-prim-2g-otpusk-10sht
Дерматология,Салициловая кислота,Салициловая кислота кислота раствор для наружного применения спиртовой 2% 40мл /Ифф/,https://аптека-омск.рф/lek/salicilovaya-k-ta-2-40ml-r-r-dnarprimspirtiff
Дерматология,Глицерин,Глицерин раствор для наружного применения 25г,https://аптека-омск.рф/lek/glicerin-25g-fl-pet
Дерматология,Фукорцин,Фукорцин раствор для наружного применения 10мл,https://аптека-омск.рф/lek/fukorcin-r-r-dnaruzh-prim-fl-10-ml-kh1
Дерматология,Натрия тетраборат,Натрия тетраборат раствор для местного и наружного применения 20% 30г (отпуск 10шт),https://аптека-омск.рф/lek/natriya-tetraborat-r-r-dmestni-narprim-20-30g-fl-otpusk-10sht
Дерматология,Борная кислота раствор,Борная кислота раствор для местного применения спиртовой 3% 25мл (цена действительна при отпуске 10 флаконов),https://аптека-омск.рф/lek/bornaya-k-ta-r-r-dmestn-prim-spirt-3-25ml-fl-kap-oranzh-st-iuotpusk-10sht
Дерматология,Преднизолон,Преднизолон мазь для наружного применения 5мг/г 10г (отпуск 10шт),https://аптека-омск.рф/lek/prednizolon-maz-dnar-prim-5mgg-10g-tuby-iuotpusk-10sht
Дерматология,Календулы настойка,Календулы настойка флакон 25мл,https://аптека-омск.рф/lek/kalenduly-nastoyka-fl-25-ml-kh1-0
Дерматология,Борная,Борная кислота раствор для местного применения спиртовой 3% 25мл (цена действительна при отпуске 20 флаконов),https://аптека-омск.рф/lek/bornaya-k-ta-r-r-dnar-prim-spirt-3-25ml-fl-tst-otpusk-20fl
Дерматология,Салициловая кислота,Салициловая кислота раствор для наружного применения спиртовой 1% 40мл /Ифф/,https://аптека-омск.рф/lek/salicilovaya-k-ta-1-40ml-r-r-dnarprimspirtiff
Дерматология,Натрия тетраборат,Натрия тетраборат раствор для местного применения 20% 30г (отпуск 10фл),https://аптека-омск.рф/lek/natriya-tetraborat-r-r-dmestn-prim-20-30g-fl-ts-otpusk-10fl
Дерматология,Вазелин медицинский,Вазелин медицинский банка 25 г,https://аптека-омск.рф/lek/vazelin-medicinskiy-banka-25-g-kh1
Дерматология,Левомицетин,Левомицетин раствор для наружного применения спиртовой 1% флакон 25мл (отпуск 10шт),https://аптека-омск.рф/lek/levomicetin-r-r-dnar-prim-spirt-1-25ml-fl-tsotpusk-10sht
Дерматология,Бензилбензоат мазь,Бензилбензоат мазь 20% 25г,https://аптека-омск.рф/lek/benzilbenzoat-maz-20-25g-0
Дерматология,Фукорцин,Фукорцин раствор для наружного применения 10мл (отпуск 10шт),https://аптека-омск.рф/lek/fukorcin-r-r-dnar-prim-10ml-fl-tst-otpusk-10sht
Дерматология,Салициловая кислота,Салициловая кислота раствор для наружного применения спиртовой 2% 40мл,https://аптека-омск.рф/lek/salicilovaya-kislota-rastvor-dlya-naruzhnogo-primeneniya-spirtovoy-2-40-ml
Дерматология,Фукорцин,Фукорцин раствор для наружного применения флакон с крышкой-лопаткой 10мл,https://аптека-омск.рф/lek/fukorcin-10ml-flak-stekl-s-kryshkoy-lopatkoy-r-r-dnaruzh-primindupmff
Дерматология,Натрия тетраборат,Натрия тетраборат раствор для местного применения 20% 30г (отпуск 10фл),https://аптека-омск.рф/lek/natriya-tetraborat-r-r-dmestn-prim-20-30g-otpusk-10fl
Дерматология,Фурацилин,Фурацилин таблетки для приготовления раствора для местного и наружного применения 20мг №10,https://аптека-омск.рф/lek/furacilin-20mg-tab-dprig-r-ra-dmestnogo-i-naruzhnogo-prim-kh10
Дерматология,Натрия,Натрия тетрабората раствор в глицерине раствор для местного и наружного применения 20% 30г,https://аптека-омск.рф/lek/natriya-tetraborata-r-r-v-glicerine-r-r-dlya-mest-i-nar-prim-20-fl-30g
Дерматология,Меновазин,Меновазин раствор для наружного применения спиртовой 40мл,https://аптека-омск.рф/lek/menovazin
Дерматология,Натрия,Натрия тетрабората раствор в глицерине раствор для местного и наружного применения 20% 30г,https://аптека-омск.рф/lek/natriya-tetraborata-r-r-v-glicerine-dmest-i-nar-prim-20-fl-30g-no1
Дерматология,Фурацилин,Фурацилин таблетки для приготовления раствора для местного и наружного применения 20мг №20,https://аптека-омск.рф/lek/furacilin-tab-dprig-r-ra-dmestn-i-nar-prim-20mg-no20
Дерматология,Фукорцин,Фукорцин раствор для наружного применения 25мл (отпуск 10шт),https://аптека-омск.рф/lek/fukorcin-r-r-dnaruzh-prim-spirt-25ml-fl-tst-otp-10sht
Дерматология,Вазелин мазь,Вазелин мазь для наружного применения 30г,https://аптека-омск.рф/lek/vazelin-maz-dnaruzh-prim-30g-tuba
Дерматология,Фукорцин,Фукорцин раствор для наружного применения 25мл (отпуск 20шт),https://аптека-омск.рф/lek/fukorcin-r-r-dnar-prim-spirt-25ml-fl-stek-iu-otpusk-20sht
Дерматология,Календула мазь,Календула мазь 25г,https://аптека-омск.рф/lek/kalendula-maz-25g
Дерматология,Фукорцин,Фукорцин раствор для наружного применения флакон с помазком 10мл (отпуск 10шт),https://аптека-омск.рф/lek/fukorcin-r-r-dnar-prim-spirt-10ml-fl-tst-iu-s-pomazkom-otp-10sht
Дерматология,Левомицетин,Левомицетин раствор для наружного применения спиртовой 1% флакон 25мл (отпуск 10шт),https://аптека-омск.рф/lek/levomicetin-r-r-dnar-prim-spirt-1-25ml-fl-oranzh-st-otpusk-10sht
Дерматология,Меновазин,Меновазин раствор для наружного применения спиртовой 40мл/ИФФ/,https://аптека-омск.рф/lek/menovazin-40ml-flak-r-riff
Дерматология,Вазелин медицинский,Вазелин медицинский туба 30г,https://аптека-омск.рф/lek/vazelin-medicinskiy-30g-tuba
Дерматология,Вазелин,Вазелин мазь для наружного применения туба 30г (отпуск 10шт),https://аптека-омск.рф/lek/vazelin-maz-dnar-prim-30g-tubyotpusk-10sht
Дерматология,Преднизолон,"Преднизолон мазь для наружного применения 0,5% 15г",https://аптека-омск.рф/lek/prednizolon-maz-dnar-prim-05-15g-tuby-iu
Дерматология,Левомицетин,"Левомицетин спиртовой раствор для наружного применения спиртовой 0,25% 25мл",https://аптека-омск.рф/lek/levomicetina-r-r-dnar-prim-spirtovoy-025-fl-25ml-no1
Гомеопатические,Эскулюс мазь гомеопатическая,Эскулюс мазь гомеопатическая 30г,https://аптека-омск.рф/lek/eskulyus-maz-gomeopaticheskaya-30g
Гомеопатические,Кардиоика,КардиоИКА гранулы гомеопатические 10г,https://аптека-омск.рф/lek/kardioika-granuly-gomeopatich-10g-no1
Гомеопатические,Туя окциденталис,"Туя Окциденталис С6 гомеопат монокомпонентный препарат растительного происхождения 5,0гранулы гомеопатия",https://аптека-омск.рф/lek/tuya-okcidentalis-s6-gomeopat-monokomp-preparat-rastit-proiskhozhd-50-granuly-gomeopat
Гомеопатические,Арника,"Арника Монтана С6 гомеопат монокомпонентный препарат растительного происхождения 5,0гранулы гомеопатические",https://аптека-омск.рф/lek/arnika-montana-s6-gomeopat-monokomp-preparat-rastit-proiskhozhd-50-granuly-gomeopat
Гомеопатические,Успокой,Успокой таблетки гомеопатические №20,https://аптека-омск.рф/lek/uspokoy-tabletki-gomeop-no20
Гомеопатические,Эхинацея,Эхинацея пурпуреа c 30гомеопатический монокомпанентный препарат раститительного происхождения 5г гранулы гомеопатические,https://аптека-омск.рф/lek/ekhinaceya-purpurea-c30-gomeopat-monokomp-preparat-rastit-proiskhozhd-50-granuly-gomeopat
Гомеопатические,Фарингомед,Фарингомед таблетки для рассасывания №20,https://аптека-омск.рф/lek/faringomed-tab-drass-no20
Гомеопатические,Сандра,Сандра таблетки гомеопатические подъязычные №30,https://аптека-омск.рф/lek/sandra-tabl-gomeopat-podyazych-kh30
Гомеопатические,Агри,Агри гранулы гомеопатические 20г,https://аптека-омск.рф/lek/agriantigrippin-gomeopaticheskiy-gran-200
Гомеопатические,Агри,Агри таблетки для рассасывания №40,https://аптека-омск.рф/lek/agriantigrippin-gomeopaticheskiy-n40-tabl-dras
Гомеопатические,Агри,Агри детский гранулы гомеопатические пакеты 10г №2,https://аптека-омск.рф/lek/agri-detskiy-gran-gomeopat-2pak-10g
Гомеопатические,Агри,Агри детский таблетки гомеопатические №40,https://аптека-омск.рф/lek/agri-detskiy-tab-gomeopat-no40
Гомеопатические,Авиа-море,Авиа-море таблетки гомеопатические №20,https://аптека-омск.рф/lek/avia-more-tab-gomeopaticheskie-no20
Гомеопатические,Климаксан,Климаксан гранулы гомеопатические 10г,https://аптека-омск.рф/lek/klimaksan-tabletki-dlya-rassasyvaniya-no10
Гомеопатические,Эдас-953,Эдас-953 гепа гранулы гомеопатические 20г,https://аптека-омск.рф/lek/gepa-edas-953-gran-gomeopat-banka-20g
Гомеопатические,Млекоин,Млекоин гранулы гомеопатические пакет 10г,https://аптека-омск.рф/lek/mlekoin-gran-gomeopat-pak-10-g-kh1
Гомеопатические,Эдас-919,Эдас-919 артромил гранулы гомеопатические 20г,https://аптека-омск.рф/lek/artromil-edas-919-gran-gomeopat-banka-20g
Гомеопатические,Эдас-201,Эдас-201 каленгам мазь гомеопатическая 25 г,https://аптека-омск.рф/lek/kalengam-edas-201-maz-gomeopaticheskaya-banka-25g
Гомеопатические,Климаксан,Климаксан таблетки гомеопатические №40,https://аптека-омск.рф/lek/klimaksan-tab-gomeop-kh40
Гомеопатические,Эдас,Эдас-938 арнаур гранулы гомеопатические 20г,https://аптека-омск.рф/lek/arnaur-edas-938-gran-gomeopat-banka-20g
Гомеопатические,Эдас,Эдас-150 прополан капли для приема внутрь гомеопатические 25мл,https://аптека-омск.рф/lek/edas-150-propolan-25ml-kapli-dpriema-vnutr-gomeopat
Гомеопатические,Эдас-954,Эдас-954 гастропан гранулы гомеопатические 20г,https://аптека-омск.рф/lek/gastropan-edas-954-gran-gomeopat-banka-20g
Гомеопатические,Эдас,Эдас-402 бриорус оподельдок гомеопатический 100мл,https://аптека-омск.рф/lek/edas-402-briorus-100ml-flak-opodeldok-gomeopat
